id,label,target,weight,age,score,role
N135,L135,N19,6,64,78.66,HR
N136,L136,N90,5,,92.7,Analyst
N137,L137,N124,2,56,,Analyst
N138,L138,N109,5,37,40.06,Engineer
N139,L139,N137,1,31,,Analyst
N140,L140,N97,7,27,13.42,Designer
N141,L141,N75,5,26,,HR
N142,L142,N135,10,60,97.03,Manager
N143,L143,N133,5,32,,HR
N144,L144,N37,3,31,83.47,Engineer
N145,L145,N87,1,48,,Engineer
N146,L146,N88,10,23,20.89,Manager
N147,L147,N56,1,33,95.1,
N148,L148,N47,10,28,75.35,Manager
N149,L149,N100,8,,,Analyst
N150,L150,N143,10,24,93.4,Manager
N151,L151,N146,8,,,HR
N152,L152,N6,9,57,11.05,Analyst
N153,L153,N64,4,65,,HR
N154,L154,N26,6,,60.93,Manager
N155,L155,N10,4,,,Engineer
N156,L156,N55,10,,99.34,Manager
N157,L157,N52,6,52,78.88,Manager
N158,L158,N37,1,,,Designer
N159,L159,N78,7,28,84.98,HR
N160,L160,N155,3,19,,Manager
N161,L161,N92,7,,,HR
N162,L162,N125,5,,28.46,Designer
N163,L163,N146,5,,54.0,
N164,L164,N143,5,35,76.96,Analyst
N165,L165,N59,4,,1.19,Analyst
N166,L166,N77,4,32,,
N167,L167,N107,6,41,83.7,Manager
N168,L168,N99,10,,79.9,Analyst
N169,L169,N148,8,,98.25,HR
N170,L170,N160,5,25,,Manager
N171,L171,N168,4,,,
N172,L172,N67,4,58,,Designer
N173,L173,N133,6,,63.27,
N174,L174,N81,8,40,86.39,Analyst
N175,L175,N151,4,55,,Analyst
N176,L176,N152,5,,,Manager
N177,L177,N43,4,,15.32,Analyst
N178,L178,N134,10,49,,Analyst
N179,L179,N130,2,44,,HR
N180,L180,N155,2,40,,HR
N181,L181,N158,4,,,Manager
N182,L182,N78,1,43,,Analyst
N183,L183,N11,6,,19.07,Analyst
N184,L184,N137,1,40,84.9,
N185,L185,N179,4,,12.22,
N186,L186,N34,1,,,Analyst
N187,L187,N9,1,,27.51,Analyst
N188,L188,N118,9,19,53.23,Analyst
N189,L189,N84,7,61,,
N190,L190,N35,4,49,32.11,Designer
N191,L191,N183,8,22,27.89,Analyst
N192,L192,N162,2,,13.06,HR
N193,L193,N30,6,31,7.33,Designer
N194,L194,N76,5,40,,
N195,L195,N91,6,25,62.01,Analyst
N196,L196,N35,6,62,2.83,Engineer
N197,L197,N121,7,21,,Engineer
N198,L198,N171,6,63,81.23,Designer
N199,L199,N62,2,43,,HR
N0,L0,N164,7,55,29.16,Designer
N0,L0,N75,1,55,29.16,Designer
N0,L0,N44,7,55,29.16,Designer
N0,L0,N104,10,55,29.16,Designer
N1,L1,N86,2,,,
N1,L1,N2,3,,,
N2,L2,N38,9,35,,HR
N2,L2,N21,1,35,,HR
N2,L2,N146,5,35,,HR
N2,L2,N45,5,35,,HR
N3,L3,N102,3,,,HR
N3,L3,N147,3,,,HR
N3,L3,N38,5,,,HR
N3,L3,N88,4,,,HR
N4,L4,N11,4,35,,Designer
N4,L4,N39,1,35,,Designer
N4,L4,N110,6,35,,Designer
N5,L5,N34,9,37,,Analyst
N6,L6,N28,6,23,,Manager
N6,L6,N12,10,23,,Manager
N8,L8,N23,2,27,,
N8,L8,N60,8,27,,
N8,L8,N21,5,27,,
N8,L8,N35,10,27,,
N10,L10,N181,1,57,8.44,HR
N10,L10,N96,4,57,8.44,HR
N11,L11,N96,1,26,75.75,Designer
N11,L11,N120,6,26,75.75,Designer
N12,L12,N25,1,50,61.3,Engineer
N12,L12,N23,8,50,61.3,Engineer
N12,L12,N114,9,50,61.3,Engineer
N12,L12,N19,9,50,61.3,Engineer
N13,L13,N32,9,64,11.65,Engineer
N13,L13,N193,10,64,11.65,Engineer
N13,L13,N46,6,64,11.65,Engineer
N13,L13,N194,6,64,11.65,Engineer
N14,L14,N30,3,46,,HR
N14,L14,N101,3,46,,HR
N14,L14,N81,7,46,,HR
N14,L14,N40,5,46,,HR
N15,L15,N189,2,24,,Designer
N15,L15,N82,1,24,,Designer
N16,L16,N43,1,18,,
N16,L16,N137,5,18,,
N17,L17,N43,5,47,94.75,Engineer
N17,L17,N184,4,47,94.75,Engineer
N17,L17,N183,4,47,94.75,Engineer
N18,L18,N69,2,35,62.88,
N18,L18,N53,7,35,62.88,
N18,L18,N24,1,35,62.88,
N18,L18,N155,1,35,62.88,
N19,L19,N169,9,59,,Analyst
N19,L19,N144,3,59,,Analyst
N19,L19,N24,5,59,,Analyst
N19,L19,N59,1,59,,Analyst
N21,L21,N146,10,29,,
N21,L21,N85,10,29,,
N21,L21,N145,8,29,,
N21,L21,N173,9,29,,
N23,L23,N99,7,19,95.4,Analyst
N23,L23,N174,5,19,95.4,Analyst
N23,L23,N156,8,19,95.4,Analyst
N24,L24,N156,2,64,60.59,HR
N24,L24,N191,10,64,60.59,HR
N24,L24,N144,9,64,60.59,HR
N27,L27,N180,4,35,,Designer
N27,L27,N74,4,35,,Designer
N27,L27,N103,9,35,,Designer
N27,L27,N77,8,35,,Designer
N28,L28,N30,2,47,,
N28,L28,N135,2,47,,
N28,L28,N74,7,47,,
N29,L29,N12,6,35,90.79,
N30,L30,N7,4,19,,Manager
N30,L30,N40,9,19,,Manager
N31,L31,N144,2,46,,Analyst
N31,L31,N120,9,46,,Analyst
N32,L32,N183,9,,70.37,Analyst
N32,L32,N27,8,,70.37,Analyst
N32,L32,N70,3,,70.37,Analyst
N32,L32,N16,9,,70.37,Analyst
N33,L33,N129,9,26,,
N34,L34,N16,9,57,,Analyst
N34,L34,N192,7,57,,Analyst
N34,L34,N62,9,57,,Analyst
N35,L35,N121,4,39,40.41,
N36,L36,N101,9,19,,HR
N36,L36,N53,8,19,,HR
N38,L38,N35,2,61,,Analyst
N39,L39,N52,10,34,58.08,
N39,L39,N121,4,34,58.08,
N39,L39,N193,1,34,58.08,
N39,L39,N151,7,34,58.08,
N40,L40,N145,7,27,,Engineer
N40,L40,N187,1,27,,Engineer
N40,L40,N36,7,27,,Engineer
N40,L40,N159,10,27,,Engineer
N42,L42,N50,3,,,Designer
N42,L42,N127,10,,,Designer
N42,L42,N117,8,,,Designer
N43,L43,N55,2,29,1.51,
N43,L43,N74,6,29,1.51,
N43,L43,N90,8,29,1.51,
N44,L44,N66,10,28,,
N44,L44,N185,1,28,,
N44,L44,N2,9,28,,
N45,L45,N168,9,41,,HR
N45,L45,N184,7,41,,HR
N45,L45,N124,5,41,,HR
N45,L45,N59,3,41,,HR
N46,L46,N71,6,58,65.45,Manager
N46,L46,N65,6,58,65.45,Manager
N47,L47,N136,3,37,,Analyst
N47,L47,N2,8,37,,Analyst
N47,L47,N105,5,37,,Analyst
N47,L47,N187,5,37,,Analyst
N48,L48,N194,3,43,,
N48,L48,N164,3,43,,
N48,L48,N32,5,43,,
N51,L51,N110,6,43,,Analyst
N51,L51,N166,6,43,,Analyst
N51,L51,N142,10,43,,Analyst
N51,L51,N97,10,43,,Analyst
N52,L52,N47,3,,,Designer
N52,L52,N66,10,,,Designer
N53,L53,N116,8,52,20.03,Analyst
N53,L53,N144,3,52,20.03,Analyst
N53,L53,N168,5,52,20.03,Analyst
N53,L53,N125,9,52,20.03,Analyst
N54,L54,N149,9,,13.23,
N54,L54,N23,10,,13.23,
N54,L54,N14,8,,13.23,
N56,L56,N109,1,38,,HR
N56,L56,N72,6,38,,HR
N58,L58,N71,3,29,,
N58,L58,N191,8,29,,
N58,L58,N83,10,29,,
N58,L58,N127,7,29,,
N61,L61,N22,4,42,,Engineer
N61,L61,N20,3,42,,Engineer
N63,L63,N151,8,60,83.33,HR
N63,L63,N70,6,60,83.33,HR
N63,L63,N195,9,60,83.33,HR
N63,L63,N72,6,60,83.33,HR
N65,L65,N18,1,39,50.34,Analyst
N65,L65,N52,10,39,50.34,Analyst
N65,L65,N60,6,39,50.34,Analyst
N66,L66,N115,9,44,86.17,Designer
N66,L66,N142,9,44,86.17,Designer
N66,L66,N23,9,44,86.17,Designer
N66,L66,N116,5,44,86.17,Designer
N67,L67,N28,1,41,,Manager
N67,L67,N51,8,41,,Manager
N67,L67,N49,6,41,,Manager
N67,L67,N64,5,41,,Manager
N68,L68,N118,10,50,,Manager
N69,L69,N65,5,33,,Engineer
N69,L69,N144,3,33,,Engineer
N70,L70,N84,3,25,,Analyst
N71,L71,N47,8,43,,Analyst
N71,L71,N129,5,43,,Analyst
N72,L72,N174,4,33,78.96,Designer
N73,L73,N161,8,,,Designer
N73,L73,N68,4,,,Designer
N73,L73,N143,7,,,Designer
N73,L73,N43,5,,,Designer
N74,L74,N24,2,41,,Analyst
N74,L74,N150,3,41,,Analyst
N74,L74,N45,7,41,,Analyst
N74,L74,N79,4,41,,Analyst
N75,L75,N90,9,61,,Analyst
N75,L75,N12,7,61,,Analyst
N75,L75,N175,10,61,,Analyst
N76,L76,N63,3,51,,Manager
N76,L76,N156,7,51,,Manager
N76,L76,N104,1,51,,Manager
N77,L77,N180,6,41,6.23,Designer
N78,L78,N37,3,,,Analyst
N78,L78,N169,9,,,Analyst
N78,L78,N67,1,,,Analyst
N79,L79,N6,6,48,,Engineer
N79,L79,N139,6,48,,Engineer
N79,L79,N71,1,48,,Engineer
N79,L79,N69,3,48,,Engineer
N80,L80,N160,7,,,Analyst
N80,L80,N131,9,,,Analyst
N80,L80,N54,5,,,Analyst
N81,L81,N195,9,48,56.18,Designer
N81,L81,N92,4,48,56.18,Designer
N81,L81,N77,4,48,56.18,Designer
N81,L81,N94,3,48,56.18,Designer
N82,L82,N181,1,56,13.73,HR
N82,L82,N62,2,56,13.73,HR
N82,L82,N30,3,56,13.73,HR
N82,L82,N11,3,56,13.73,HR
N83,L83,N66,6,33,,HR
N83,L83,N49,10,33,,HR
N85,L85,N143,7,35,41.82,HR
N85,L85,N21,5,35,41.82,HR
N86,L86,N169,8,65,33.35,Analyst
N86,L86,N73,6,65,33.35,Analyst
N86,L86,N33,4,65,33.35,Analyst
N86,L86,N197,5,65,33.35,Analyst
N87,L87,N14,9,,15.0,Analyst
N87,L87,N27,5,,15.0,Analyst
N87,L87,N135,7,,15.0,Analyst
N87,L87,N36,1,,15.0,Analyst
N88,L88,N15,5,46,73.79,HR
N88,L88,N148,9,46,73.79,HR
N88,L88,N26,6,46,73.79,HR
N89,L89,N64,3,30,89.34,
N89,L89,N185,10,30,89.34,
N89,L89,N165,6,30,89.34,
N89,L89,N68,7,30,89.34,
N90,L90,N141,9,29,,Engineer
N90,L90,N75,8,29,,Engineer
N90,L90,N58,6,29,,Engineer
N90,L90,N25,4,29,,Engineer
N91,L91,N112,6,18,58.11,Analyst
N92,L92,N129,1,51,,Engineer
N92,L92,N146,9,51,,Engineer
N93,L93,N181,9,,31.7,Analyst
N93,L93,N69,6,,31.7,Analyst
N94,L94,N193,5,55,29.69,HR
N94,L94,N19,2,55,29.69,HR
N94,L94,N34,1,55,29.69,HR
N94,L94,N127,2,55,29.69,HR
N95,L95,N79,6,43,93.5,HR
N96,L96,N89,5,,84.29,HR
N96,L96,N97,5,,84.29,HR
N96,L96,N132,3,,84.29,HR
N97,L97,N193,3,,,Manager
N98,L98,N47,8,48,63.04,HR
N98,L98,N170,1,48,63.04,HR
N99,L99,N16,2,57,15.66,
N99,L99,N76,8,57,15.66,
N99,L99,N95,7,57,15.66,
N99,L99,N2,1,57,15.66,
N100,L100,N146,4,,,Engineer
N101,L101,N25,4,21,87.45,Engineer
N101,L101,N162,7,21,87.45,Engineer
N101,L101,N187,1,21,87.45,Engineer
N102,L102,N64,8,,,Analyst
N102,L102,N42,7,,,Analyst
N102,L102,N187,4,,,Analyst
N103,L103,N31,3,63,,
N105,L105,N187,5,,,Analyst
N105,L105,N30,8,,,Analyst
N105,L105,N144,6,,,Analyst
N106,L106,N138,8,,91.89,Engineer
N106,L106,N12,5,,91.89,Engineer
N107,L107,N49,10,40,,Manager
N107,L107,N193,8,40,,Manager
N107,L107,N162,4,40,,Manager
N108,L108,N177,8,34,22.3,
N108,L108,N183,2,34,22.3,
N109,L109,N71,9,51,44.42,HR
N110,L110,N196,4,,61.68,Analyst
N110,L110,N145,5,,61.68,Analyst
N110,L110,N138,9,,61.68,Analyst
N110,L110,N24,7,,61.68,Analyst
N111,L111,N81,7,22,,Manager
N111,L111,N7,7,22,,Manager
N111,L111,N36,9,22,,Manager
N111,L111,N100,5,22,,Manager
N112,L112,N197,2,,8.85,Designer
N112,L112,N107,9,,8.85,Designer
N115,L115,N27,4,42,16.02,Engineer
N115,L115,N29,4,42,16.02,Engineer
N116,L116,N35,9,32,82.22,Engineer
N117,L117,N91,1,60,,Manager
N117,L117,N44,6,60,,Manager
N117,L117,N195,3,60,,Manager
N117,L117,N74,7,60,,Manager
N119,L119,N103,10,36,89.66,Analyst
N119,L119,N30,4,36,89.66,Analyst
N119,L119,N190,1,36,89.66,Analyst
N119,L119,N166,4,36,89.66,Analyst
N120,L120,N101,4,32,43.73,Manager
N120,L120,N192,4,32,43.73,Manager
N120,L120,N129,2,32,43.73,Manager
N120,L120,N134,6,32,43.73,Manager
N122,L122,N1,3,47,99.37,Designer
N122,L122,N99,8,47,99.37,Designer
N122,L122,N81,9,47,99.37,Designer
N122,L122,N171,7,47,99.37,Designer
N124,L124,N198,2,51,96.36,Engineer
N125,L125,N151,8,31,,
N125,L125,N102,3,31,,
N125,L125,N193,4,31,,
N125,L125,N168,10,31,,
N126,L126,N95,3,,,Analyst
N127,L127,N32,9,55,,Analyst
N128,L128,N38,3,64,,
N128,L128,N142,3,64,,
N128,L128,N15,1,64,,
N129,L129,N2,2,43,78.58,Analyst
N131,L131,N41,8,,,Analyst
N131,L131,N127,8,,,Analyst
N131,L131,N149,2,,,Analyst
N131,L131,N196,10,,,Analyst
N132,L132,N48,3,,91.58,Engineer
N132,L132,N34,3,,91.58,Engineer
N132,L132,N88,4,,91.58,Engineer
N132,L132,N74,8,,91.58,Engineer
N133,L133,N14,5,18,18.69,Engineer
N134,L134,N173,5,,,Engineer
N136,L136,N105,5,,92.7,Analyst
N136,L136,N77,9,,92.7,Analyst
N138,L138,N39,9,37,40.06,Engineer
N138,L138,N78,9,37,40.06,Engineer
N139,L139,N105,10,31,,Analyst
N139,L139,N76,4,31,,Analyst
N139,L139,N125,9,31,,Analyst
N139,L139,N18,7,31,,Analyst
N140,L140,N21,5,27,13.42,Designer
N140,L140,N55,6,27,13.42,Designer
N140,L140,N138,5,27,13.42,Designer
N140,L140,N192,7,27,13.42,Designer
N141,L141,N171,8,26,,HR
N141,L141,N66,9,26,,HR
N141,L141,N145,9,26,,HR
N142,L142,N124,3,60,97.03,Manager
N144,L144,N143,7,31,83.47,Engineer
N144,L144,N1,1,31,83.47,Engineer
N144,L144,N34,9,31,83.47,Engineer
N145,L145,N6,3,48,,Engineer
N146,L146,N25,2,23,20.89,Manager
N146,L146,N126,1,23,20.89,Manager
N146,L146,N45,1,23,20.89,Manager
N146,L146,N31,1,23,20.89,Manager
N147,L147,N126,9,33,95.1,
N147,L147,N29,7,33,95.1,
N147,L147,N165,1,33,95.1,
N147,L147,N176,10,33,95.1,
N148,L148,N17,10,28,75.35,Manager
N148,L148,N33,6,28,75.35,Manager
N148,L148,N157,6,28,75.35,Manager
N149,L149,N10,10,,,Analyst
N150,L150,N187,9,24,93.4,Manager
N151,L151,N64,10,,,HR
N151,L151,N80,1,,,HR
N151,L151,N138,9,,,HR
N152,L152,N84,7,57,11.05,Analyst
N152,L152,N3,10,57,11.05,Analyst
N152,L152,N80,2,57,11.05,Analyst
N153,L153,N122,4,65,,HR
N153,L153,N160,8,65,,HR
N153,L153,N166,3,65,,HR
N153,L153,N113,2,65,,HR
N155,L155,N180,9,,,Engineer
N158,L158,N46,7,,,Designer
N158,L158,N182,4,,,Designer
N158,L158,N105,4,,,Designer
N159,L159,N56,8,28,84.98,HR
N160,L160,N178,5,19,,Manager
N160,L160,N95,1,19,,Manager
N160,L160,N20,10,19,,Manager
N161,L161,N77,4,,,HR
N162,L162,N191,9,,28.46,Designer
N163,L163,N69,10,,54.0,
N163,L163,N78,5,,54.0,
N163,L163,N188,1,,54.0,
N163,L163,N33,2,,54.0,
N165,L165,N16,8,,1.19,Analyst
N165,L165,N134,3,,1.19,Analyst
N165,L165,N41,5,,1.19,Analyst
N166,L166,N189,2,32,,
N166,L166,N180,10,32,,
N167,L167,N94,4,41,83.7,Manager
N167,L167,N152,6,41,83.7,Manager
N167,L167,N189,8,41,83.7,Manager
N169,L169,N162,5,,98.25,HR
N169,L169,N195,5,,98.25,HR
N170,L170,N35,7,25,,Manager
N170,L170,N18,5,25,,Manager
N171,L171,N102,8,,,
N172,L172,N144,2,58,,Designer
N172,L172,N161,2,58,,Designer
N172,L172,N81,6,58,,Designer
N173,L173,N162,10,,63.27,
N173,L173,N137,1,,63.27,
N173,L173,N152,4,,63.27,
N173,L173,N7,6,,63.27,
N174,L174,N87,9,40,86.39,Analyst
N174,L174,N11,5,40,86.39,Analyst
N174,L174,N156,4,40,86.39,Analyst
N175,L175,N187,7,55,,Analyst
N175,L175,N112,4,55,,Analyst
N175,L175,N104,6,55,,Analyst
N175,L175,N2,4,55,,Analyst
N176,L176,N5,1,,,Manager
N176,L176,N98,10,,,Manager
N176,L176,N76,7,,,Manager
N178,L178,N88,2,49,,Analyst
N178,L178,N193,6,49,,Analyst
N178,L178,N79,5,49,,Analyst
N178,L178,N105,6,49,,Analyst
N180,L180,N68,3,40,,HR
N180,L180,N131,8,40,,HR
N182,L182,N51,6,43,,Analyst
N182,L182,N75,9,43,,Analyst
N182,L182,N138,5,43,,Analyst
N183,L183,N164,8,,19.07,Analyst
N183,L183,N198,2,,19.07,Analyst
N183,L183,N36,4,,19.07,Analyst
N183,L183,N58,3,,19.07,Analyst
N184,L184,N179,10,40,84.9,
N185,L185,N36,7,,12.22,
N186,L186,N81,4,,,Analyst
N186,L186,N26,3,,,Analyst
N186,L186,N167,2,,,Analyst
N187,L187,N118,7,,27.51,Analyst
N189,L189,N184,8,61,,
N189,L189,N171,10,61,,
N189,L189,N55,6,61,,
N189,L189,N198,3,61,,
N190,L190,N111,9,49,32.11,Designer
N190,L190,N136,9,49,32.11,Designer
N190,L190,N123,2,49,32.11,Designer
N191,L191,N18,2,22,27.89,Analyst
N191,L191,N11,5,22,27.89,Analyst
N191,L191,N158,3,22,27.89,Analyst
N191,L191,N147,4,22,27.89,Analyst
N192,L192,N196,2,,13.06,HR
N192,L192,N8,10,,13.06,HR
N193,L193,N54,4,31,7.33,Designer
N193,L193,N97,4,31,7.33,Designer
N195,L195,N160,10,25,62.01,Analyst
N195,L195,N59,10,25,62.01,Analyst
N195,L195,N176,10,25,62.01,Analyst
N196,L196,N145,8,62,2.83,Engineer
N197,L197,N103,9,21,,Engineer
N198,L198,N89,4,63,81.23,Designer
N198,L198,N38,2,63,81.23,Designer
N198,L198,N94,7,63,81.23,Designer
N199,L199,N76,6,43,,HR
